tanggal,kategori,komoditas,satuan,pasar,harga,rata_harian,rata_hitung,selisih_rata
2024-01-01,S U S U,"Susu Kental Manis ""INDOMILK"" Putih",390 Gr/kaleng,Pasar Wonokromo,12500,12416.66667,12416.666667,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""INDOMILK"" Putih",390 Gr/kaleng,Pasar Genteng Baru,12500,12416.66667,12416.666667,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""INDOMILK"" Putih",390 Gr/kaleng,Pasar Pabean,,12416.66667,12416.666667,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""INDOMILK"" Putih",390 Gr/kaleng,Pasar Kembang,12500,12416.66667,12416.666667,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""INDOMILK"" Putih",390 Gr/kaleng,Pasar Balongsari,12500,12416.66667,12416.666667,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""BENDERA"" Putih",390 Gr/kaleng,Pasar Tambahrejo,12500,12583.33333,12583.333333,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""BENDERA"" Putih",390 Gr/kaleng,Pasar Pucang Anom,13000,12583.33333,12583.333333,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""BENDERA"" Putih",390 Gr/kaleng,Pasar Wonokromo,12500,12583.33333,12583.333333,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""BENDERA"" Putih",390 Gr/kaleng,Pasar Genteng Baru,12500,12583.33333,12583.333333,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""BENDERA"" Putih",390 Gr/kaleng,Pasar Pabean,,12583.33333,12583.333333,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""BENDERA"" Putih",390 Gr/kaleng,Pasar Kembang,12500,12583.33333,12583.333333,0.000003
2024-01-01,S U S U,"Susu Kental Manis ""BENDERA"" Putih",390 Gr/kaleng,Pasar Balongsari,12500,12583.33333,12583.333333,0.000003
2024-01-01,SABUN CUCI,Sabun Detergen Rinso (Anti Noda),900 Gram,Pasar Tambahrejo,,17500,17500,0
2024-01-01,SABUN CUCI,Sabun Detergen Rinso (Anti Noda),900 Gram,Pasar Pucang Anom,,17500,17500,0
2024-01-01,SABUN CUCI,Sabun Detergen Rinso (Anti Noda),900 Gram,Pasar Wonokromo,,17500,17500,0
2024-01-01,SABUN CUCI,Sabun Detergen Rinso (Anti Noda),900 Gram,Pasar Genteng Baru,,17500,17500,0
2024-01-01,SABUN CUCI,Sabun Detergen Rinso (Anti Noda),900 Gram,Pasar Pabean,17500,17500,17500,0
2024-01-01,SABUN CUCI,Sabun Detergen Rinso (Anti Noda),900 Gram,Pasar Kembang,,17500,17500,0
2024-01-01,SABUN CUCI,Sabun Detergen Rinso (Anti Noda),900 Gram,Pasar Balongsari,,17500,17500,0
2024-01-01,SABUN CUCI,"Sabun Colek ""Wing's Biru""",350 Gram,Pasar Tambahrejo,,2000,2000,0
2024-01-01,SABUN CUCI,"Sabun Colek ""Wing's Biru""",350 Gram,Pasar Pucang Anom,,2000,2000,0
2024-01-01,SABUN CUCI,"Sabun Colek ""Wing's Biru""",350 Gram,Pasar Wonokromo,,2000,2000,0
2024-01-01,SABUN CUCI,"Sabun Colek ""Wing's Biru""",350 Gram,Pasar Genteng Baru,,2000,2000,0
2024-01-01,SABUN CUCI,"Sabun Colek ""Wing's Biru""",350 Gram,Pasar Pabean,2000,2000,2000,0
2024-01-01,SABUN CUCI,"Sabun Colek ""Wing's Biru""",350 Gram,Pasar Kembang,,2000,2000,0
2024-01-01,SABUN CUCI,"Sabun Colek ""Wing's Biru""",350 Gram,Pasar Balongsari,,2000,2000,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Kecil),Kg,Pasar Tambahrejo,,9500,9500,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Kecil),Kg,Pasar Pucang Anom,8000,9500,9500,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Kecil),Kg,Pasar Wonokromo,10000,9500,9500,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Kecil),Kg,Pasar Genteng Baru,10000,9500,9500,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Kecil),Kg,Pasar Pabean,9000,9500,9500,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Kecil),Kg,Pasar Kembang,10000,9500,9500,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Kecil),Kg,Pasar Balongsari,10000,9500,9500,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Besar),Kg,Pasar Tambahrejo,10000,8857.142857,8857.142857,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Besar),Kg,Pasar Pucang Anom,10000,8857.142857,8857.142857,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Besar),Kg,Pasar Wonokromo,9000,8857.142857,8857.142857,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Besar),Kg,Pasar Genteng Baru,10000,8857.142857,8857.142857,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Besar),Kg,Pasar Pabean,6000,8857.142857,8857.142857,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Besar),Kg,Pasar Kembang,9000,8857.142857,8857.142857,0
2024-01-01,JAGUNG,Jagung Pipilan Kering (Jenis Besar),Kg,Pasar Balongsari,8000,8857.142857,8857.142857,0
2024-01-01,GARAM BERYODIUM,Garam Halus (Cap Kapal),250 Gr/Bngks,Pasar Tambahrejo,3000,4428.571429,4428.571429,0
2024-01-01,GARAM BERYODIUM,Garam Halus (Cap Kapal),250 Gr/Bngks,Pasar Pucang Anom,8000,4428.571429,4428.571429,0
2024-01-01,GARAM BERYODIUM,Garam Halus (Cap Kapal),250 Gr/Bngks,Pasar Wonokromo,5000,4428.571429,4428.571429,0
2024-01-01,GARAM BERYODIUM,Garam Halus (Cap Kapal),250 Gr/Bngks,Pasar Genteng Baru,5000,4428.571429,4428.571429,0
2024-01-01,GARAM BERYODIUM,Garam Halus (Cap Kapal),250 Gr/Bngks,Pasar Pabean,2500,4428.571429,4428.571429,0
2024-01-01,GARAM BERYODIUM,Garam Halus (Cap Kapal),250 Gr/Bngks,Pasar Kembang,5000,4428.571429,4428.571429,0
